T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
9.399399414062500000e+02,3.923231470361398400e+17,3.415213504928140160e+17,2.879195947705215040e+17,2.076332216779800312e+14,1.718761485826945500e+15,3.206228070453820000e+16,1.499346089298184640e+17,1.594849310290345920e+17
9.406500244140629547e+02,3.913701835754033280e+17,3.398062215986033280e+17,2.878815129404691840e+17,2.042423470453755938e+14,1.689189897032076750e+15,3.148341050779480000e+16,1.474073623991894720e+17,1.608998105786795520e+17
9.411199951171879547e+02,3.880573827839240960e+17,3.386944189904086400e+17,2.878714165766266880e+17,2.020335895762573125e+14,1.669947819226204250e+15,3.110705542135842400e+16,1.457588042751539200e+17,1.618284955232640320e+17
9.415899658203129547e+02,3.867604556212448000e+17,3.375985950107070080e+17,2.878712899507634240e+17,1.998492926299040938e+14,1.650931892391124750e+15,3.073532513486290400e+16,1.441269587721698240e+17,1.627516578113913920e+17
9.420699462890629547e+02,3.848597083988428160e+17,3.365005279658348800e+17,2.878843236600407040e+17,1.976507681917842500e+14,1.631809537843517750e+15,3.036178359338763600e+16,1.424824227311227520e+17,1.636871907011952960e+17
9.423000488281250000e+02,3.853192778257989120e+17,3.359741148479356160e+17,2.878905720176163840e+17,1.965967960234608125e+14,1.622642284964024500e+15,3.018270785440506000e+16,1.416940324876416640e+17,1.641356849782240000e+17
9.432500000000000000e+02,3.853240738495347200e+17,3.338670813283301760e+17,2.879562199100268800e+17,1.923476793221918125e+14,1.585735440868485500e+15,2.946255287123823600e+16,1.385093967857249920e+17,1.659634808999460480e+17
9.434899902343750000e+02,3.850128462990551680e+17,3.333442955602668160e+17,2.879783704108766080e+17,1.912889809972300000e+14,1.576546873696745750e+15,2.928336814431463600e+16,1.377150427066100320e+17,1.664217241891920640e+17
9.437759765624999773e+02,3.844639369346109440e+17,3.327333864685434240e+17,2.880117777738910400e+17,1.900461279464150938e+14,1.565768925971059750e+15,2.907332837595041200e+16,1.367813951346376480e+17,1.669633031852099200e+17
9.446700439453129547e+02,3.822907562182757760e+17,3.308444845340831360e+17,2.881279581627359680e+17,1.861934438224012188e+14,1.532373119937147000e+15,2.842274019184218000e+16,1.338853243544925760e+17,1.686483553050415360e+17
9.446700439453129547e+02,3.837081453886996480e+17,3.308444845340831360e+17,2.881279581627359680e+17,1.861934438224012188e+14,1.532373119937147000e+15,2.842274019184218000e+16,1.338853243544925760e+17,1.686483553050415360e+17
9.453800048828129547e+02,3.794188127514814720e+17,3.293801011751232000e+17,2.882401321607499520e+17,1.831897444103530625e+14,1.506361185107326500e+15,2.791638600567296000e+16,1.316242141760093760e+17,1.699727403999983680e+17
9.456199951171879547e+02,3.792840841079724160e+17,3.289019989817844480e+17,2.882871827784254080e+17,1.822010502730631562e+14,1.497810100298955250e+15,2.775010192186964800e+16,1.308784544902568960e+17,1.704137062951852800e+17
9.460991962139429461e+02,3.810884295992320640e+17,3.279480627923515520e+17,2.883815176965367680e+17,1.802280008839748438e+14,1.480745934030202500e+15,2.741828030589943600e+16,1.293901428955345920e+17,1.712939216449246400e+17
9.465699462890629547e+02,3.802716981302313600e+17,3.270239572818004480e+17,2.884809590642328960e+17,1.783104081307067812e+14,1.464169326958525250e+15,2.709606572624688800e+16,1.279425269875838240e+17,1.721532805898000960e+17
9.472800292968750000e+02,3.787386255641880960e+17,3.256603458218795520e+17,2.886467362757224960e+17,1.754660503300292500e+14,1.439600005318466000e+15,2.661878691839285600e+16,1.257926068737900800e+17,1.734371140042294720e+17
9.472800292968750000e+02,3.769451266670614400e+17,3.256603458218795520e+17,2.886467362757224960e+17,1.754660503300292500e+14,1.439600005318466000e+15,2.661878691839285600e+16,1.257926068737900800e+17,1.734371140042294720e+17
9.482299804687500000e+02,3.768609878485178880e+17,3.238941270231452800e+17,2.888975944582341120e+17,1.717537249685213438e+14,1.407566458568638500e+15,2.599704176144826400e+16,1.229816030041067520e+17,1.751301135808346880e+17
9.484699707031250000e+02,3.775133879705095680e+17,3.234554326688222080e+17,2.889646267386524160e+17,1.708279585856638438e+14,1.399582153071178250e+15,2.584213911656324400e+16,1.222799540591303200e+17,1.755545777421789120e+17
9.488846059945919933e+02,3.785511187896807680e+17,3.227154304084899840e+17,2.890890876251466240e+17,1.692574247640567188e+14,1.386046727568193250e+15,2.557969670656122800e+16,1.210880665733934080e+17,1.762801286296724160e+17
9.489399414062500000e+02,3.773172950665330560e+17,3.226166729448923520e+17,2.891056976304481920e+17,1.690478281924914375e+14,1.384240348908229250e+15,2.554467229090524000e+16,1.209290024849509280e+17,1.763769574762865920e+17
9.496500244140629547e+02,3.775841565808764160e+17,3.213666805843937920e+17,2.893268549514545280e+17,1.663863270626279062e+14,1.361311216088929750e+15,2.510023361797071200e+16,1.189076838449012320e+17,1.776117566454114240e+17
9.505999755859379547e+02,3.751793175481728640e+17,3.197469506876488320e+17,2.896467859932978560e+17,1.629112919542022188e+14,1.331399232469184000e+15,2.452086855046438800e+16,1.162639756584705120e+17,1.792399977929635520e+17
9.508399658203129547e+02,3.752028393382277760e+17,3.193495462416504960e+17,2.897328521172040320e+17,1.620527020605735000e+14,1.324014281879703500e+15,2.437792059663535600e+16,1.156097603558091360e+17,1.796459187456754560e+17
9.513099365234379547e+02,3.769783247822344960e+17,3.185713127131186560e+17,2.899013946284139520e+17,1.603713332454816250e+14,1.309552400003050000e+15,2.409798691289080800e+16,1.143286164518181600e+17,1.804408300721966720e+17
9.517800292968750000e+02,3.767572381837395840e+17,3.178172768219848960e+17,2.900803597277541760e+17,1.587298258222713750e+14,1.295443876528479750e+15,2.382506880135021600e+16,1.130757285209862240e+17,1.812244039297251520e+17
9.522600097656250000e+02,3.745573799949685760e+17,3.170521138264974080e+17,2.902651023025134720e+17,1.570616085185611562e+14,1.281107872221637750e+15,2.354778520563546800e+16,1.118020334297608800e+17,1.820222198688832960e+17
9.529699707031250000e+02,3.726931292622396800e+17,3.159554200544631040e+17,2.905526204251310080e+17,1.546525151511387188e+14,1.260418996556204500e+15,2.314786250892986800e+16,1.099596040822368640e+17,1.831852414048908800e+17
9.532099609375000000e+02,3.725383272528775040e+17,3.155872357226863360e+17,2.906508406435944960e+17,1.538423826407010000e+14,1.253462749317603000e+15,2.301341350210020400e+16,1.093398028417573440e+17,1.835771487396362880e+17
9.536800537109379547e+02,3.714052864238114560e+17,3.148832107820935680e+17,2.908498787063372160e+17,1.522843418391507188e+14,1.240090797564920500e+15,2.275507110805646400e+16,1.081462861744277120e+17,1.843362340064338560e+17
9.539200439453129547e+02,3.702806862133130880e+17,3.145289950463209600e+17,2.909535030262218880e+17,1.514976712622061562e+14,1.233341091731162000e+15,2.262470202703350400e+16,1.075431988521413440e+17,1.847211607262271040e+17
9.543900146484379547e+02,3.723848329010870400e+17,3.138356212547283840e+17,2.911565337343701120e+17,1.499576220855181562e+14,1.220127422377968250e+15,2.236948457669830800e+16,1.063625214741757280e+17,1.854748135221901760e+17
9.550638333834140212e+02,3.720562053504950400e+17,3.128791031834630400e+17,2.914614330789259520e+17,1.478133025292150000e+14,1.201741571083364000e+15,2.201458858857973600e+16,1.047152061776187520e+17,1.865360445994056320e+17
9.555991552734379866e+02,3.698254391489064960e+17,3.121308842659772800e+17,2.917077201069763840e+17,1.461297283875889688e+14,1.187309756439707500e+15,2.173607959019986800e+16,1.034207794923483680e+17,1.873729728912495040e+17
9.558199462890629547e+02,3.721383970757073920e+17,3.118295186588492160e+17,2.918118090360463360e+17,1.454477164774116562e+14,1.181465657531544500e+15,2.162333838399320400e+16,1.028957428310622560e+17,1.877143396780446400e+17
9.561703857421880457e+02,3.706462716421821440e+17,3.113511912311966720e+17,2.919770189621676800e+17,1.443652273183722188e+14,1.172189904985235250e+15,2.144439556543741600e+16,1.020624047537364320e+17,1.882561569695722880e+17
9.569842965262280359e+02,3.703611219479592960e+17,3.102719053806852480e+17,2.923710425025681280e+17,1.419057423500573438e+14,1.151123297883091500e+15,2.103814866042164800e+16,1.001660666907203840e+17,1.894973572228916800e+17
9.572399902343750000e+02,3.685104801428928640e+17,3.099364033109460480e+17,2.924959872627530240e+17,1.411392310474740000e+14,1.144558757355318500e+15,2.091157680200940000e+16,9.957472493802760000e+16,1.898853516589017600e+17
9.579599609375000000e+02,3.699866207088854400e+17,3.090210419706162560e+17,2.928567258248857600e+17,1.390320676078281875e+14,1.126519597619289000e+15,2.056389626701796000e+16,9.794632601501784000e+16,1.909614495735864640e+17
9.579599609375000000e+02,3.704493531272737280e+17,3.090210419706162560e+17,2.928567258248857600e+17,1.390320676078281875e+14,1.126519597619289000e+15,2.056389626701796000e+16,9.794632601501784000e+16,1.909614495735864640e+17
9.586700439453129547e+02,3.680911522316675840e+17,3.081395754759412480e+17,2.932186821092002560e+17,1.369912830749304531e+14,1.109053353938999625e+15,2.022735095627636000e+16,9.636716258509302400e+16,1.920106109891707520e+17
9.593615440955539952e+02,3.666841886062684800e+17,3.073015468637392640e+17,2.935769045574527360e+17,1.350397990260860312e+14,1.092355660168726125e+15,1.990570106665374800e+16,9.485509944941448000e+16,1.930205848765947520e+17
9.598499755859379547e+02,3.669159594639748480e+17,3.067316683627928320e+17,2.938356208887244800e+17,1.337006816043286250e+14,1.080901512059665000e+15,1.968514240898114000e+16,9.381532142902488000e+16,1.937208737513623360e+17
9.600899658203129547e+02,3.645237034100805760e+17,3.064522054619843840e+17,2.939628818190035840e+17,1.330436809880963438e+14,1.075281952842331625e+15,1.957693550862550800e+16,9.330512741915640000e+16,1.940646355607915840e+17
