T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
5.938292142427890212e+02,1.175034568678363750e+19,1.208942431442879898e+19,8.257862967626929152e+18,8.333243487681474560e+18,2.923109079825812992e+18,5.858551573591641600e+17,3.707580902250394000e+15,5.736254647480275391e+12
5.969476123046880502e+02,1.203841911890667930e+19,1.234766442438456320e+19,8.569926006946185216e+18,8.287516371464774656e+18,3.170096819077000192e+18,6.520195003764942080e+17,4.217778247805711000e+15,6.732528305592315430e+12
5.993200073242189774e+02,1.229292931974583706e+19,1.253660897764762010e+19,8.808033661199874048e+18,8.231398849558486016e+18,3.367336167771682816e+18,7.067684058734424320e+17,4.648432369490433000e+15,7.596349375379370117e+12
6.031999511718750000e+02,1.258255796652569395e+19,1.283198802411326259e+19,9.197752157820200960e+18,8.099711168997853184e+18,3.706989404282711040e+18,8.053843464341216000e+17,5.442920907390096000e+15,9.241607003761216797e+12
6.058599853515629547e+02,1.281631579574696141e+19,1.302559583034750157e+19,9.464423478074867712e+18,7.982267368144157696e+18,3.951151419065914880e+18,8.798539602710206720e+17,6.057895754956963000e+15,1.055699699600524609e+13
6.090100097656250000e+02,1.305875818819357286e+19,1.324664425782625485e+19,9.778842786170486784e+18,7.816545205140331520e+18,4.250932002159938560e+18,9.756949956993610240e+17,6.867284894771418000e+15,1.233895646623600586e+13
6.124576220703130502e+02,1.325131443988824883e+19,1.347993714311149158e+19,1.012026163247340134e+19,7.604873100801757184e+18,4.590467028097591808e+18,1.090624115946752256e+18,7.863154454979427000e+15,1.460409199963849023e+13
6.151492215670079986e+02,1.349762920964204339e+19,1.365694753003442790e+19,1.038401836019721830e+19,7.419431744887716864e+18,4.862517958659689472e+18,1.188269703641259520e+18,8.730609967575183000e+15,1.663924023644239844e+13
6.180441918006309834e+02,1.370998559924926464e+19,1.384379893880191386e+19,1.066432705699962061e+19,7.203360010507389952e+18,5.160089679587390464e+18,1.301216989141433344e+18,9.756908305010934000e+15,1.911450270431592578e+13
6.213299560546879547e+02,1.394461734603167744e+19,1.405310634161782579e+19,1.097740175529970893e+19,6.940622292670367744e+18,5.501877292806552576e+18,1.439806082336102912e+18,1.104847556140342800e+16,2.232582900292955469e+13
6.244699707031250000e+02,1.412090245041286349e+19,1.425214018763988378e+19,1.127060144719590400e+19,6.675646662475099136e+18,5.830090084197083136e+18,1.583223549880569856e+18,1.242168817193920800e+16,2.585086678893936328e+13
6.273599853515629547e+02,1.430463442769126605e+19,1.443599660385339597e+19,1.153458694029919846e+19,6.423090898157430784e+18,6.131296431696491520e+18,1.725106418321653504e+18,1.381553825620694600e+16,2.953679733254785156e+13
6.300100097656250000e+02,1.449386575785462170e+19,1.460629875818371072e+19,1.177113278824989901e+19,6.186691688467284992e+18,6.404938289323668480e+18,1.863968145813979904e+18,1.521304865231382400e+16,3.333526831956383984e+13
6.331300048828129547e+02,1.476577852162363392e+19,1.481006911810060902e+19,1.204249026356801946e+19,5.905449234091063296e+18,6.721976403735753728e+18,2.038354034969951232e+18,1.701222105455749600e+16,3.836310669295100000e+13
6.363272070312500546e+02,1.503554360594943181e+19,1.502382494086285517e+19,1.231193590531399885e+19,5.616952257411311616e+18,7.038709370226171904e+18,2.229928032185018368e+18,1.904418369524770400e+16,4.421615799010358594e+13
6.394261568509620020e+02,1.533858119720821965e+19,1.523690356016763904e+19,1.256427917293247488e+19,5.339812376772244480e+18,7.335485837810103296e+18,2.428700241424010240e+18,2.121238661273883600e+16,5.065195347441324219e+13
6.422600097656250000e+02,1.555065130613129011e+19,1.543762325796920934e+19,1.278710833690244915e+19,5.090586245663685632e+18,7.596134983957299200e+18,2.622375851227929088e+18,2.338264322734369200e+16,5.727828100596539844e+13
6.454723088191110492e+02,1.607991394703198208e+19,1.567238006757558682e+19,1.303063378377520128e+19,4.814700773059555328e+18,7.877574702980942848e+18,2.855958004701932032e+18,2.607205767515362400e+16,6.572152136767716406e+13
6.489699707031250000e+02,1.665435369421933363e+19,1.593745918602833715e+19,1.328465251516717670e+19,4.524408691070993920e+18,8.164417046275685376e+18,3.128505241231273472e+18,2.930944486658465600e+16,7.620696561844932812e+13
6.520799560546879547e+02,1.716368834063005082e+19,1.618149518005459149e+19,1.350126698736217907e+19,4.276196425623668224e+18,8.400879941272604672e+18,3.387201498580111872e+18,3.247688948063006000e+16,8.677277841679206250e+13
6.559100341796879547e+02,1.758199471066209894e+19,1.649296540523161190e+19,1.375667975858974925e+19,3.984622142219957760e+18,8.665554149955646464e+18,3.728268261984266752e+18,3.679225366307830400e+16,1.016208501276320781e+14
6.585400390625000000e+02,1.797119839396320461e+19,1.671362043773421773e+19,1.392551229167203328e+19,3.793713977803286528e+18,8.829385058161285120e+18,3.977279949227629568e+18,4.004027413351059200e+16,1.131113035599262031e+14
6.616400146484379547e+02,1.822743489929176474e+19,1.698069872114204877e+19,1.411837289717126963e+19,3.578830759049264128e+18,9.002237161770810368e+18,4.287274539049165824e+18,4.419995624465133600e+16,1.282008639284620625e+14
6.644823185847360492e+02,1.840699232854629990e+19,1.723178537690808115e+19,1.429036618872952013e+19,3.391220626429879296e+18,9.141112665290746880e+18,4.587320015274765312e+18,4.834536121418833600e+16,1.436196113893911250e+14
6.674069166917070106e+02,1.855250462617909248e+19,1.749608564889627034e+19,1.446345995848201830e+19,3.207591192119297536e+18,9.263421123526455296e+18,4.912566690060624896e+18,5.297309373344382400e+16,1.612573816190553438e+14
6.702299804687500000e+02,1.872485933099033805e+19,1.775660702555943731e+19,1.462785843564380160e+19,3.039247237929754112e+18,9.360964350129008640e+18,5.242930078331582464e+18,5.781810458303340000e+16,1.801763469917180938e+14
6.735599975585939774e+02,1.894654144677177754e+19,1.807010437036598067e+19,1.481992199726012211e+19,2.851336115858016768e+18,9.450076674914918400e+18,5.653340947971275776e+18,6.403736174986038400e+16,2.050825926812422812e+14
6.766600341796879547e+02,1.926710309026827059e+19,1.836759234741611930e+19,1.499838206190170931e+19,2.686518366890577408e+18,9.507025600515887104e+18,6.056179311367467008e+18,7.036376199179473600e+16,2.310961400576568750e+14
6.792700195312500000e+02,1.951121175093346304e+19,1.862189786411957862e+19,1.514945511648297779e+19,2.554906889674431488e+18,9.535602700169938944e+18,6.410819156114973696e+18,7.611639224649892800e+16,2.553001181022033750e+14
6.816500244140629547e+02,1.984875238684137062e+19,1.885668974348238848e+19,1.528863682475924685e+19,2.440437192636615168e+18,9.545978056268734464e+18,6.746760896412364800e+18,8.172997444600636800e+16,2.794037797319518438e+14
6.849315722656250500e+02,2.010419649437869261e+19,1.918461038959493120e+19,1.548385715813395661e+19,2.290824711133076224e+18,9.536101137495351296e+18,7.229338749113205760e+18,9.007879645206716800e+16,3.160814236364786250e+14
6.881520141601559999e+02,2.044717101993277850e+19,1.951080984556306432e+19,1.568035470226512077e+19,2.152746083826631168e+18,9.499730086324520960e+18,7.724348629944094720e+18,9.900151376714017600e+16,3.563065295788132500e+14
6.906699829101560226e+02,2.076535540809524838e+19,1.976872903524492493e+19,1.583814439499915469e+19,2.050559354557736448e+18,9.453174395224152064e+18,8.125951615083378688e+18,1.065205587564202880e+17,3.909862525827790000e+14
6.939799804687500000e+02,2.111187035312698573e+19,2.011143689723458765e+19,1.605193125926772122e+19,1.923543866811919616e+18,9.368575109872367616e+18,8.672717951434160128e+18,1.171800041913247520e+17,4.413090359961710000e+14
6.964639770507819776e+02,2.148428378463792333e+19,2.037120841516654592e+19,1.621743531825687962e+19,1.833312230284532480e+18,9.288679228733040640e+18,9.096256364453271552e+18,1.257802585288164320e+17,4.828306595278186250e+14
